Country,Region,Year,GDP_pp
Afghanistan,"Middle East, North Africa, and Greater Arabia",1901-01-01,613.99
Afghanistan,"Middle East, North Africa, and Greater Arabia",1906-01-01,624.04
Afghanistan,"Middle East, North Africa, and Greater Arabia",1911-01-01,634.25
Afghanistan,"Middle East, North Africa, and Greater Arabia",1916-01-01,647.28
Afghanistan,"Middle East, North Africa, and Greater Arabia",1921-01-01,662.4
Afghanistan,"Middle East, North Africa, and Greater Arabia",1926-01-01,677.87
Afghanistan,"Middle East, North Africa, and Greater Arabia",1931-01-01,693.71
Afghanistan,"Middle East, North Africa, and Greater Arabia",1936-01-01,709.91
Afghanistan,"Middle East, North Africa, and Greater Arabia",1941-01-01,726.49
Afghanistan,"Middle East, North Africa, and Greater Arabia",1946-01-01,743.46
Afghanistan,"Middle East, North Africa, and Greater Arabia",1951-01-01,766.75
Afghanistan,"Middle East, North Africa, and Greater Arabia",1956-01-01,837.07
Afghanistan,"Middle East, North Africa, and Greater Arabia",1961-01-01,857.36
Afghanistan,"Middle East, North Africa, and Greater Arabia",1966-01-01,833.61
Afghanistan,"Middle East, North Africa, and Greater Arabia",1971-01-01,773.7
Afghanistan,"Middle East, North Africa, and Greater Arabia",1976-01-01,866.19
Afghanistan,"Middle East, North Africa, and Greater Arabia",1981-01-01,896.86
Afghanistan,"Middle East, North Africa, and Greater Arabia",1986-01-01,1030.89
Afghanistan,"Middle East, North Africa, and Greater Arabia",1991-01-01,705.45
Afghanistan,"Middle East, North Africa, and Greater Arabia",1996-01-01,617.91
Afghanistan,"Middle East, North Africa, and Greater Arabia",2001-01-01,595.04
Afghanistan,"Middle East, North Africa, and Greater Arabia",2006-01-01,887.91
Afghanistan,"Middle East, North Africa, and Greater Arabia",2011-01-01,1261.35
Albania,Europe,1901-01-01,1062.01
Albania,Europe,1906-01-01,1133.49
Albania,Europe,1911-01-01,1209.42
Albania,Europe,1916-01-01,1272.01
Albania,Europe,1921-01-01,1326.12
Albania,Europe,1926-01-01,1382.53
Albania,Europe,1931-01-01,1428.08
Albania,Europe,1936-01-01,1454.82
Albania,Europe,1941-01-01,1482.05
Albania,Europe,1946-01-01,1509.79
Albania,Europe,1951-01-01,1598.49
Albania,Europe,1956-01-01,1825.3
Albania,Europe,1961-01-01,2238.79
Albania,Europe,1966-01-01,2660.07
Albania,Europe,1971-01-01,3188.58
Albania,Europe,1976-01-01,3517.62
Albania,Europe,1981-01-01,3611.03
Albania,Europe,1986-01-01,3715.55
Albania,Europe,1991-01-01,2717.57
Albania,Europe,1996-01-01,3569.59
Albania,Europe,2001-01-01,4476.05
Albania,Europe,2006-01-01,5652.05
Albania,Europe,2011-01-01,6914.27
Algeria,"Middle East, North Africa, and Greater Arabia",1901-01-01,1807.76
Algeria,"Middle East, North Africa, and Greater Arabia",1906-01-01,1913.02
Algeria,"Middle East, North Africa, and Greater Arabia",1911-01-01,2024.41
Algeria,"Middle East, North Africa, and Greater Arabia",1916-01-01,2097.74
Algeria,"Middle East, North Africa, and Greater Arabia",1921-01-01,2143.49
Algeria,"Middle East, North Africa, and Greater Arabia",1926-01-01,2190.24
Algeria,"Middle East, North Africa, and Greater Arabia",1931-01-01,2238.01
Algeria,"Middle East, North Africa, and Greater Arabia",1936-01-01,2286.81
Algeria,"Middle East, North Africa, and Greater Arabia",1941-01-01,2336.69
Algeria,"Middle East, North Africa, and Greater Arabia",1946-01-01,2387.65
Algeria,"Middle East, North Africa, and Greater Arabia",1951-01-01,2397.53
Algeria,"Middle East, North Africa, and Greater Arabia",1956-01-01,2764.42
Algeria,"Middle East, North Africa, and Greater Arabia",1961-01-01,3202.96
Algeria,"Middle East, North Africa, and Greater Arabia",1966-01-01,3070.75
Algeria,"Middle East, North Africa, and Greater Arabia",1971-01-01,3559.35
Algeria,"Middle East, North Africa, and Greater Arabia",1976-01-01,4642.62
Algeria,"Middle East, North Africa, and Greater Arabia",1981-01-01,5573.38
Algeria,"Middle East, North Africa, and Greater Arabia",1986-01-01,5876.05
Algeria,"Middle East, North Africa, and Greater Arabia",1991-01-01,5061.3
Algeria,"Middle East, North Africa, and Greater Arabia",1996-01-01,4824.21
Algeria,"Middle East, North Africa, and Greater Arabia",2001-01-01,5156.45
Algeria,"Middle East, North Africa, and Greater Arabia",2006-01-01,6022.27
Algeria,"Middle East, North Africa, and Greater Arabia",2011-01-01,6354.64
Andorra,Europe,1901-01-01,3352.5
Andorra,Europe,1906-01-01,3553.95
Andorra,Europe,1911-01-01,3767.51
Andorra,Europe,1916-01-01,4313.53
Andorra,Europe,1921-01-01,5198.77
Andorra,Europe,1926-01-01,6265.69
Andorra,Europe,1931-01-01,7551.56
Andorra,Europe,1936-01-01,9101.33
Andorra,Europe,1941-01-01,10969.16
Andorra,Europe,1946-01-01,13220.3
Andorra,Europe,1951-01-01,15933.44
Andorra,Europe,1956-01-01,19203.39
Andorra,Europe,1961-01-01,23144.4
Andorra,Europe,1966-01-01,27894.22
Andorra,Europe,1971-01-01,32191.43
Andorra,Europe,1976-01-01,32840.79
Andorra,Europe,1981-01-01,28684.58
Andorra,Europe,1986-01-01,25621.54
Andorra,Europe,1991-01-01,28091.12
Andorra,Europe,1996-01-01,25839.07
Andorra,Europe,2001-01-01,33293.0
Andorra,Europe,2006-01-01,39924.84
Andorra,Europe,2011-01-01,31630.74
Angola,Sub-Saharan Africa,1901-01-01,525.76
Angola,Sub-Saharan Africa,1906-01-01,538.2
Angola,Sub-Saharan Africa,1911-01-01,550.94
Angola,Sub-Saharan Africa,1916-01-01,643.48
Angola,Sub-Saharan Africa,1921-01-01,820.64
Angola,Sub-Saharan Africa,1926-01-01,1046.58
Angola,Sub-Saharan Africa,1931-01-01,1334.71
Angola,Sub-Saharan Africa,1936-01-01,1702.17
